차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
기아 K7 프리미어 하이브리드 2.4 HEV  시그니처,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,9천km,"3,470"
현대 그랜져HG 240  모던,자동,5인승,4기통,190마력,25.5kgm,가솔린,5만km,"1,349"
제네시스 G90 3.8 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"7,290"
기아 더 뉴 카니발 2.2 디젤 9인승  노블레스 스페셜,자동,9인승,4기통,202마력,45kgm,디젤,7만km,"2,590"
현대 아반떼AD 1.6 T-GDi 스포츠  익스트림 셀렉션,자동,5인승,4기통,204마력,26.9kgm,가솔린,3만km,"1,540"
현대 싼타페TM 2.2 디젤 4WD  프레스티지,자동,5인승,4기통,202마력,45kgm,디젤,6만km,"2,830"
제네시스 G80 3.3 T-GDi AWD  스포츠,자동,5인승,6기통,370마력,52kgm,가솔린,6만km,"2,950"
기아 더 K9 3.8 GDI AWD 그랜드 플래티넘,자동,5인승,6기통,315마력,40.5kgm,가솔린,3만km,"5,100"
현대 i30 PD 1.4 T-GDi  프리미엄,자동,5인승,4기통,140마력,24.7kgm,가솔린,5만km,"1,770"
기아 스팅어 3.3 T-GDi  GT,자동,5인승,6기통,370마력,52kgm,가솔린,5만km,"2,720"
기아 스팅어 2.0 T-GDi AWD  플래티넘,자동,5인승,,,,가솔린,2만km,"3,400"
기아 스팅어 3.3 T-GDi  GT,자동,5인승,6기통,370마력,52kgm,가솔린,4만km,"3,199"
제네시스 G80 3.3 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,12만km,"2,599"
현대 뉴 제네시스 G330  프리미엄 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,9만km,"2,190"
제네시스 EQ900 3.8 GDi  럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,9만km,"3,120"
제네시스 G70 3.3 T-GDi AWD  스포츠 프레스티지,자동,5인승,6기통,370마력,52kgm,가솔린,1만km,"4,299"
현대 뉴 제네시스 G330  프리미엄,자동,5인승,6기통,282마력,35.4kgm,가솔린,7만km,"2,550"
기아 더 뉴 모하비 3.0 디젤 상시4WD  프레지던트,자동,5인승,6기통,260마력,56.1kgm,디젤,9만km,"2,790"
현대 베라크루즈 4WD 300VXL ,자동,7인승,6기통,255마력,47.9kgm,디젤,11만km,"1,790"
현대 그랜져IG 하이브리드 2.4 HEV  익스클루시브 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,6만km,"2,539"
기아 더 뉴 쏘렌토 2.0 디젤 2WD  노블레스,자동,5인승,4기통,186마력,41kgm,디젤,6만km,"2,499"
현대 더 뉴 그랜져 G2.5  익스클루시브,자동,5인승,,,,가솔린,1만km,"3,160"
기아 더 K9 3.8 GDI AWD  그랜드 플래티넘,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"4,800"
제네시스 G80 3.3 GDi  럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,9만km,"2,580"
제네시스 GV80 3.0 디젤 AWD  7인승 ,자동,7인승,,,,디젤,3만km,"6,990"
현대 그랜져IG 3.3 GDI 셀러브리티,자동,5인승,6기통,290마력,35kgm,가솔린,4만km,"2,350"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅰ,자동,5인승,,,,가솔린,4만km,"3,699"
제네시스 G70 3.3 T-GDi AWD  스포츠 엘리트,자동,5인승,6기통,370마력,52kgm,가솔린,2만km,"3,780"
현대 쏘나타 G2.0  인스퍼레이션 DN8,자동,5인승,4기통,160마력,20kgm,가솔린,2만km,"2,590"
기아 더 뉴 쏘렌토 2.0 디젤 2WD 노블레스 스페셜,자동,5인승,4기통,186마력,41kgm,디젤,7만km,"2,430"
제네시스 G80 3.3 GDi AWD 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,8만km,"2,590"
기아 모하비 더 마스터 3.0 디젤 4WD 6인승 마스터즈,자동,6인승,6기통,260마력,56.1kgm,디젤,3만km,"3,850"
기아 더 뉴 쏘렌토 2.0 디젤 2WD  노블레스 스페셜,자동,5인승,4기통,186마력,41kgm,디젤,6만km,"2,150"
현대 아반떼AD 1.6 GDi  프리미엄,자동,5인승,4기통,132마력,16.3kgm,가솔린,2만km,"1,640"
기아 K5 하이브리드 3세대 G2.0 시그니처,자동,5인승,,,,가솔린+전기,4만km,"2,990"
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진  노블레스,자동,9인승,4기통,202마력,45kgm,디젤,7만km,"3,020"
현대 그랜져IG 2.4 GDI  프리미엄 스페셜,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"2,290"
﻿기아 봉고3 1톤 4X2 CRDI 초장축  표준캡,자동,3인승,,,,디젤,11만km,520
현대 포터2 장축 더블캡 SUP  기본형,자동,,,,,디젤,11만km,580
기아 봉고3 1톤 4X2 CRDI 초장축  킹캡,자동,3인승,,,,디젤,18만km,390
현대 포터2 장축 더블캡 SUP  기본형,자동,,,,,디젤,16만km,530
현대 포터2 장축 더블캡 SUP  기본형,자동,,,,,디젤,17만km,390
현대 포터2 초장축 슈퍼캡 CRDi  기본형,자동,,,,,디젤,25만km,430
현대 포터2 초장축 슈퍼캡 CRDi  기본형,자동,,,,,디젤,7만km,650
현대 포터2 초장축 슈퍼캡 CRDi  기본형,자동,,,,,디젤,20만km,450
기아 봉고3 1톤 더블캡 장축 ,자동,5인승,,,,디젤,21만km,400
쉐보레 올 뉴 말리부 1.5 터보 LS 디럭스,자동,5인승,4기통,166마력,25.5kgm,가솔린,4만km,940
쉐보레 올 뉴 말리부 1.5 터보 LS  디럭스,자동,5인승,4기통,166마력,25.5kgm,가솔린,9만km,970
현대 그랜드스타렉스 VAN 5인승  CVX 프리미엄,자동,5인승,,,,디젤,16만km,440
쌍용 체어맨W CW700  럭셔리,자동,5인승,6기통,250마력,35kgm,가솔린,18만km,299
현대 포터2 장축 더블캡 SUP  기본형,자동,,,,,디젤,13만km,450
현대 포터2 초장축 슈퍼캡 CRDi  기본형,자동,,,,,디젤,8만km,650
기아 봉고3 1톤 더블캡 장축 ,자동,5인승,,,,디젤,15만km,490
현대 LF쏘나타 2.0 LPi  스마트,자동,5인승,,,,LPG,16만km,580
기아 더 뉴 카니발 2.2 디젤 9인승  럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,7만km,"1,890"
기아 올 뉴 카니발 2.2 디젤 11인승  디럭스,자동,11인승,,,,디젤,15만km,"1,060"
현대 포터2 내장탑차 ,수동,3인승,,,,디젤,12만km,390
기아 K9 3.3 GDI 프레스티지,자동,5인승,6기통,300마력,35.5kgm,가솔린,17만km,960
현대 아반떼AD 1.6 GDi 밸류 플러스,자동,5인승,4기통,132마력,16.3kgm,가솔린,1만km,920
쌍용 뉴 체어맨W CW600 프레스티지,자동,5인승,6기통,225마력,30.2kgm,가솔린,14만km,999
기아 뉴 오피러스 GH270  고급형,자동,5인승,6기통,192마력,25.5kgm,가솔린,14만km,180
기아 스팅어 2.0 T-GDi AWD 플래티넘,자동,5인승,,,,가솔린,2만km,"2,620"
기아 스팅어 2.0 T-GDi 프라임,자동,5인승,4기통,255마력,36kgm,가솔린,11만km,"1,999"
현대 YF쏘나타 2.0 Y20 LPi 디럭스,자동,5인승,,,,LPG,14만km,360
현대 포터2 초장축 슈퍼캡 CRDi 기본형,자동,,,,,디젤,9만km,530
제네시스 G70 2.2 디젤 슈프림,자동,5인승,4기통,202마력,45kgm,디젤,13만km,"2,450"
현대 더 뉴 제네시스 쿠페 200 터보 D,자동,4인승,4기통,275마력,38kgm,가솔린,11만km,750
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,9만km,"2,950"
기아 봉고3 1톤 더블캡 장축 ,자동,5인승,,,,디젤,10만km,500
현대 더 뉴 그랜드스타렉스 밴 5인승  모던,자동,5인승,,,,디젤,4만km,"1,690"
현대 그랜드스타렉스 VAN 3인승 CVX 밸류 ,자동,3인승,,,,디젤,24만km,460
GM대우 알페온 CL240  디럭스,자동,5인승,,,,가솔린,17만km,350
현대 투싼 2.0 CRDi 디젤 MX 2WD  최고급형,자동,5인승,4기통,115마력,26kgm,디젤,11만km,190
현대 뉴 투싼ix 2.0 디젤 2WD  모던,자동,5인승,4기통,184마력,40kgm,디젤,6만km,930
현대 코나 1.6 T-GDi 2WD  모던 초이스,자동,5인승,4기통,177마력,27kgm,가솔린,1만km,"1,690"
기아 봉고3 1톤 4X2 CRDI 초장축  킹캡,자동,3인승,,,,디젤,1만km,880
르노삼성 SM6 2.0 GDe  LE,자동,5인승,4기통,150마력,20.6kgm,가솔린,3만km,"1,100"
현대 그랜드스타렉스 VAN 3인승 CVX 밸류 ,자동,3인승,,,,디젤,5만km,790
쉐보레 더 뉴 트랙스 1.6 디젤  퍼펙트 블랙,자동,5인승,4기통,135마력,32.7kgm,디젤,5만km,"1,390"
기아 더 뉴 스포티지R 2.0 디젤 2WD  프레스티지,자동,5인승,4기통,184마력,41kgm,디젤,9만km,890
기아 올 뉴 카니발 2.2 디젤 11인승 디럭스,자동,11인승,,,,디젤,6만km,"1,170"
기아 올 뉴 K7 2.4 GDi  프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,6만km,"1,380"
현대 아슬란 G300  모던,자동,5인승,6기통,270마력,31.5kgm,가솔린,14만km,970
현대 그랜드스타렉스 WAGON 11인승 CVX 럭셔리,자동,11인승,,,,디젤,10만km,500
현대 포터2 초장축 슈퍼캡 CRDi 기본형,자동,,,,,디젤,11만km,590
현대 그랜드스타렉스 VAN 5인승  CVX 프리미엄,자동,5인승,,,,디젤,26만km,650
현대 뉴 에쿠스 VS 380  프라임 VIP팩,자동,5인승,6기통,290마력,36.5kgm,가솔린,18만km,990
현대 벨로스터 터보 D 스펙,자동,4인승,4기통,204마력,26.9kgm,가솔린,9만km,850
현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,자동,5인승,4기통,184마력,40kgm,디젤,12만km,"1,170"
현대 베라크루즈 2WD 300VX  럭셔리,자동,7인승,6기통,240마력,46kgm,디젤,19만km,690
현대 그랜져HG 240  럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,21만km,625
기아 K7 VG270  럭셔리,자동,5인승,6기통,200마력,26kgm,가솔린,8만km,750
현대 그랜저 뉴 럭셔리 Q270  럭셔리,자동,5인승,6기통,195마력,25.5kgm,가솔린,10만km,350
현대 그랜져HG 300  프라임,자동,5인승,6기통,270마력,31.6kgm,가솔린,14만km,699
현대 더 뉴 i30 1.6 VGT  PYL,자동,5인승,4기통,136마력,30.6kgm,디젤,10만km,890
기아 올 뉴 K7 2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,7만km,"1,650"
쌍용 렉스턴W RX7 4WD 프레스티지,자동,7인승,4기통,178마력,40.8kgm,디젤,14만km,940
기아 올 뉴 K7 하이브리드 2.4 HEV  노블레스 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,4만km,"2,999"
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,자동,9인승,4기통,202마력,45kgm,디젤,8만km,"1,770"
현대 그랜져IG 하이브리드 2.4 HEV  익스클루시브 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,4만km,"2,990"
기아 더 뉴 카니발 2.2 디젤 9인승  노블레스 스페셜,자동,9인승,4기통,202마력,45kgm,디젤,2만km,"2,940"
기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,자동,9인승,4기통,202마력,45kgm,디젤,4만km,"3,899"
현대 뉴 에쿠스 VS 380  익스클루시브,자동,5인승,6기통,334마력,40.3kgm,가솔린,6만km,"2,760"
기아 더 뉴 쏘렌토 2.2 디젤 2WD  노블레스 스페셜,자동,7인승,4기통,202마력,45kgm,디젤,4만km,"2,599"
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,6만km,"2,740"
제네시스 GV80 2.5 T-GDi AWD 5인승,자동,5인승,6기통,304마력,42.9kgm,가솔린,5천km,"6,180"
기아 더 뉴 K7 2.4 GDI 프레스티지,자동,5인승,4기통,201마력,25.5kgm,가솔린,8만km,"1,050"
﻿현대 아반떼AD 1.6 GDi  스마트 스페셜,자동,5인승,4기통,132마력,16.3kgm,가솔린,5만km,"1,040"
현대 LF쏘나타 2.0 CVVL 프리미엄,자동,5인승,4기통,168마력,20.5kgm,가솔린,9만km,"1,090"
기아 K5 2세대 LPI MX 럭셔리,자동,5인승,,,,LPG,8만km,999
쉐보레 말리부 2.0  LT 디럭스팩,자동,5인승,6기통,141마력,18.8kgm,가솔린,11만km,499
현대 LF쏘나타 2.0 T-GDi  익스클루시브,자동,5인승,4기통,245마력,36kgm,가솔린,9만km,"1,099"
기아 더 뉴 K5 2.0  노블레스,자동,5인승,4기통,172마력,20.5kgm,가솔린,8만km,999
기아 올 뉴 K7 2.4 GDi 리미티드,자동,5인승,4기통,190마력,24.6kgm,가솔린,4만km,"1,699"
기아 스팅어 2.0 T-GDi 플래티넘,자동,5인승,4기통,255마력,36kgm,가솔린,1만km,"2,490"
현대 그랜져HG 300 익스클루시브 ,자동,5인승,6기통,270마력,31.5kgm,가솔린,5만km,"1,260"
현대 쏘나타 뉴 라이즈 2.0 LPi  모던,자동,5인승,,,,LPG,6만km,"1,260"
현대 아반떼MD M16 GDi 프리미어,자동,5인승,,,,가솔린,6만km,560
쌍용 티볼리 1.6 디젤 2WD VX,자동,5인승,4기통,115마력,30.6kgm,디젤,3만km,980
현대 YF쏘나타 2.0 Y20 프라임 블랙,자동,5인승,4기통,165마력,20.2kgm,가솔린,7만km,470
기아 K3 1.6 GDI 트렌디,자동,5인승,4기통,140마력,16.9kgm,가솔린,6만km,650
쉐보레 올 뉴 말리부 1.5 터보 LTZ ,자동,5인승,4기통,166마력,25.5kgm,가솔린,5만km,"1,190"
현대 그랜져IG 2.2 e-VGT  모던,자동,5인승,4기통,202마력,45kgm,디젤,9만km,"1,650"
제네시스 EQ900 3.3 T-GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,370마력,52kgm,가솔린,18만km,"2,650"
현대 그랜져IG 3.0 GDI  익스클루시브 스페셜,자동,5인승,6기통,266마력,31.4kgm,가솔린,5만km,"1,660"
현대 LF쏘나타 2.0 LPi 프리미엄 스페셜,자동,5인승,,,,LPG,12만km,770
쌍용 티볼리 에어 1.6 가솔린 2WD RX,자동,5인승,4기통,126마력,16kgm,가솔린,5만km,"1,050"
현대 아반떼AD 1.6 GDi  모던,자동,5인승,4기통,132마력,16.3kgm,가솔린,5만km,"1,080"
현대 LF쏘나타 2.0 CVVL 스마트 스페셜,자동,5인승,4기통,168마력,20.5kgm,가솔린,9만km,"1,299"
현대 그랜져IG 2.4 GDI 프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"1,699"
현대 아이오닉 하이브리드 N ,자동,5인승,4기통,141마력,27kgm,가솔린+전기,6만km,"1,299"
기아 올 뉴 모닝 1.0 가솔린 럭셔리 JA,자동,5인승,3기통,,,가솔린,1만km,760
기아 올 뉴 K7 2.4 GDi  프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,6만km,"1,550"
기아 더 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,2만km,"1,899"
현대 YF쏘나타 2.0 Y20  프리미어 고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,7만km,540
현대 아반떼AD 1.6 GDi  프리미엄,자동,5인승,4기통,132마력,16.3kgm,가솔린,12만km,910
쉐보레 올 뉴 말리부 1.5 터보 LTZ 프리미엄 세이프티,자동,5인승,4기통,166마력,25.5kgm,가솔린,2만km,"1,499"
기아 올 뉴 K3 G1.6  프레스티지,자동,5인승,4기통,123마력,15.7kgm,가솔린,2만km,"1,499"
기아 더 뉴 K3 1.6 GDi  트렌디 스타일,자동,5인승,4기통,132마력,16.3kgm,가솔린,2만km,"1,099"
현대 그랜져IG 하이브리드 2.4 HEV 익스클루시브 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린,2만km,"2,550"
현대 YF쏘나타 2.0 Y20 프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,7만km,520
기아 K5 2세대 2.0 가솔린 MX 프레스티지,자동,5인승,4기통,168마력,20.5kgm,가솔린,4만km,"1,199"
현대 그랜져IG 하이브리드 2.4 HEV  프리미엄,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,8만km,"1,770"
제네시스 G80 3.3 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,5만km,"2,740"
르노삼성 SM6 2.0 GDe  LE,자동,5인승,4기통,150마력,20.6kgm,가솔린,8천km,"1,240"
현대 그랜져IG 3.0 GDI 익스클루시브 스페셜,자동,5인승,6기통,266마력,31.4kgm,가솔린,9만km,"1,680"
기아 스팅어 마이스터 3.3 T-GDi 마스터즈,자동,5인승,6기통,373마력,52kgm,가솔린,20km,"4,280"
현대 뉴 i30 1.6 VGT 익스트림,자동,5인승,4기통,128마력,26.5kgm,디젤,6만km,770
르노삼성 SM6 2.0 GDe RE,자동,5인승,4기통,150마력,20.6kgm,가솔린,6만km,"1,130"
기아 올 뉴 모닝 1.0 가솔린  럭셔리 JA,자동,5인승,3기통,,,가솔린,7만km,390
현대 그랜드스타렉스 VAN 5인승 CVX 럭셔리,자동,5인승,,,,디젤,8만km,830
기아 그랜드카니발 R GLX 고급형,자동,11인승,,,,디젤,13만km,490
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,2만km,379
쉐보레 스파크 LT 스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,4만km,240
쉐보레 더 넥스트 스파크 1.0 LTZ,자동,5인승,4기통,,,가솔린,2만km,490
기아 더 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,,,가솔린,2만km,460
현대 그랜드스타렉스  VAN 5인승 CVX 럭셔리,자동,5인승,,,,디젤,12만km,690
기아 더 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,,,가솔린,5만km,420
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,5만km,420
기아 K3 1.6 GDI 럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,6만km,450
현대 뉴 제네시스 G330 모던,자동,5인승,6기통,282마력,35.4kgm,가솔린,7만km,"1,850"
현대 YF쏘나타 2.0 Y20 프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,LPG,14만km,390
기아 스포티지R 2.0 디젤 2WD TLX 프리미엄,자동,5인승,4기통,184마력,40kgm,디젤,13만km,590
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,5만km,580
기아 레이 1.0 가솔린 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,13만km,499
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,5만km,299
쉐보레 말리부 2.0 LT,자동,5인승,6기통,141마력,18.8kgm,가솔린,12만km,340
기아 스포티지R 2.0 디젤 2WD TLX 최고급형,자동,5인승,4기통,184마력,40kgm,디젤,9만km,599
기아 레이 1.0 가솔린 디럭스,자동,5인승,3기통,78마력,9.6kgm,가솔린,10만km,469
기아 올 뉴 K7 3.0 LPi 프레스티지,자동,5인승,6기통,235마력,28.6kgm,LPG,4만km,"1,490"
기아 K5 2.0 프레스티지,자동,5인승,4기통,165마력,20.2kgm,가솔린,17만km,350
현대 쏘나타 더 브릴리언트 2.0 LPi 모던,자동,5인승,,,,LPG,14만km,579
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,12만km,470
제네시스 G80 3.3 GDi AWD 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,2만km,"3,280"
현대 제네시스 쿠페 200 터보  P,자동,4인승,4기통,210마력,30.5kgm,가솔린,10만km,550
기아 더 뉴 쏘렌토 2.2 디젤 2WD 노블레스,자동,5인승,4기통,202마력,45kgm,디젤,2만km,"2,830"
기아 봉고3 1톤 더블캡 초장축,자동,,,,,디젤,23만km,880
﻿현대 그랜드스타렉스 VAN 3인승  스마트,자동,,,,,디젤,7만km,970
쉐보레 크루즈 5도어 1.4 터보 LTZ  플러스,자동,5인승,4기통,130마력,20.4kgm,가솔린,4만km,280
쌍용 렉스턴 스포츠 2.2 디젤 4WD  프레스티지,자동,5인승,,,,디젤,3만km,"1,940"
현대 뉴 i30 1.6 GDi 익스트림,자동,5인승,4기통,140마력,16.9kgm,가솔린,9만km,790
쌍용 티볼리 1.6 가솔린 2WD VX,자동,5인승,4기통,126마력,16kgm,가솔린,5만km,"1,020"
쌍용 액티언 하이퍼 4WD,자동,5인승,4기통,145마력,31.6kgm,디젤,12만km,220
현대 YF쏘나타 2.0 Y20 프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,15만km,270
기아 더 뉴 K5 2.0 LPi 럭셔리,자동,5인승,,,,LPG,5만km,870
기아 더 뉴 K7 3.0 GDI 프레스티지 스페셜,자동,5인승,6기통,270마력,31.6kgm,가솔린,9만km,870
기아 뉴 카렌스 2.0 LPI 프리미엄,자동,7인승,4기통,141마력,19kgm,LPG,10만km,370
쌍용 코란도 C 클러비 2WD 파크,자동,5인승,4기통,181마력,36.7kgm,디젤,12만km,420
현대 YF쏘나타 2.0 Y20 LPi 탑,자동,5인승,,,,LPG,10만km,440
현대 제네시스 BH460 ,자동,5인승,,,,가솔린,17만km,880
현대 LF쏘나타 2.0 CVVL  스마트,자동,5인승,4기통,168마력,20.5kgm,가솔린,6만km,"1,410"
르노삼성 XM3 1.3 TCe  RE,자동,5인승,4기통,152마력,26kgm,가솔린,7천km,"2,070"
기아 올 뉴 모닝 1.0 가솔린  럭셔리 JA,자동,5인승,3기통,,,가솔린,2만km,980
기아 더 뉴 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,76마력,9.7kgm,가솔린,1만km,"1,440"
기아 모닝 어반 G1.0  프레스티지,자동,5인승,,,,가솔린,2천km,"1,280"
기아 더 뉴 레이 1.0 가솔린  시그니처,자동,5인승,3기통,76마력,9.7kgm,가솔린,5천km,"1,549"
